Brand,Model_Type,Model_Name,Number_Of_Seats,Trunk_Volume,Wheel_Base,Empty_Weight,Tank,Urban_Consumption,Mixed_Consumption,Extra_Urban_Consumption,CO2,Number_Cylinders,Valves_Per_Cylinder,Displacement,Din_Power,Engine_Torque,Fiscal_Power,Engine_Position,Power_Supply,Max_Speed,Supercharging_Type,Acceleration,Transmission,Box,Number_Speeds,Distribution,Bodywork,Front_Tire_Width,Rear_Tire_Width,Front_Tire_HL_Ratio,Rear_Tire_HL_Ratio,Front_Suspension,Rear_Suspension,Front_Rims_Diameter,Rear_Rims_Diameter,Maintenance_Interval,Month_Guarantee,Manufacturer_Country,Start_Marketing,End_Marketing,Vehicle_Image,Length,Width,Height,Website_URL,Year
RENAULT,CLIO,IV 1.5 DCI 75 ENERGY LIFE,5,300 L (Max 1146 L volume),2.59 m,1087 kg,45 l,3.5 l / 100 km ,3.3 l / 100 km ,3.1 l / 100 km ,85 g / km ,4 ,2,1461 cc,75 hp with a diet of 4000 rpm,200 Nm on the diet of 1750 rpm,4 cv ,no data,Diesel common ramp ,168 km/h ,Turbo ,14.3 sec ,before ,mèsique ,5 ,no data,hayon sedan ,185 mm ,185 mm ,65 ,65 ,no data,no data,15 inches ,15 inches ,24 months ,24 months ,no data,04/05/16 ,05/09/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.5+dci+75+energy+life-2016.html,2016
PEUGEOT,2008,(2) PURETECH 110 S&S GT LINE EAT6,5,410 L (Max 1400 L volume),2.54 m,1190 kg,50 l,6.5 l / 100 km ,5.5 l / 100 km ,4.9 l / 100 km ,114 g / km ,3 ,4,1199 cc,110 hp with a speed of 5,205 nm at the 1750 rpm diet,6 cv ,no data,Direct & Multipoint petrol injection ,187 km/h ,Turbo ,10.5 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,50 ,50 ,force ,twisting axle ,17 inches ,17 inches ,12 months ,24 months ,France ,03/06/19 ,01/07/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+puretech+110+s%5Es+gt+line+eat6-2018.html,2018
RENAULT,CAPTUR,II 1.6 E-TECH HYBRIDE RECHARGEABLE 160 INTENS MY21,5,261 L (Max 379 l volume),2.64 m,1625 kg,39 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,160 hp ,144 nm ,5 cv ,no data,no data,173 km/h ,no data,10.1 sec ,before ,automatic ,6 ,no data,All-terrain ,215 mm ,215 mm ,55 ,55 ,no data,no data,18 inches ,18 inches ,no data,24 months ,no data,16 /11/21 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.6+e_tech+hybride+rechargeable+160+intens+my21-2022.html,2022
RENAULT,CLIO,IV 1.5 DCI 75 BUSINESS ECO2 95G,5,300 L (Max 1146 L volume),2.59 m,1071 kg,45 l,4.3 l / 100 km ,3.6 l / 100 km ,3.2 l / 100 km ,90 g / km ,4 ,2,1461 cc,75 hp with a diet of 4000 rpm,200 Nm on the diet of 1750 rpm,4 cv ,no data,Diesel common ramp ,168 km/h ,Turbo ,14.3 sec ,before ,mèsique ,5 ,no data,hayon sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches ,16 inches ,24 months ,24 months ,no data,04/09/12 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.5+dci+75+business+eco2+95g-2015.html,2015
RENAULT,CAPTUR,1.5 DCI 90 ZEN EDC,5,455 l (volume max 1235 l),2.61 m,1288 kg,45 l,4.6 l / 100 km ,3.9 l / 100 km ,3.6 l / 100 km ,103 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,5 cv ,no data,Diesel Common Rampe ,170 km/h ,Turbo ,13.5 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,60 ,60 ,no data,no data,16 inches,16 inches,24 months,24 months,no data,01/ 06/15 ,05/06/15 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-1.5+dci+90+zen+edc-2015.html,2015
RENAULT,CAPTUR,II 1.3 TCE 130 FAP INITIALE PARIS EDC,5,422 l (volume max 1275 l),2.64 m,1381 kg,48 l,7.5 l / 100 km ,5.5 l / 100 km ,5.1 l / 100 km ,no data,4 ,4 ,1333 cc ,130 hp at the 5000 rpm diet ,240 Nm at 1600 rpm regime ,7 cv ,no data,Direct petrol injection ,193 km/h ,Turbo ,9.6 sec ,before ,automatic ,7 ,no data,SUV VP ,215 mm,215 mm,55,55 ,Strength leg ,twisting axle,18 inches ,18 inches ,24 months ,24 months ,France ,05/10/20 ,04/11/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.3+tce+130+fap+initiale+paris+edc-2019.html,2019
RENAULT,CLIO,V 1.0 TCE 90 BUSINESS X-TRONIC -21,5,391 L (MAX 1069 L volume),2.58 m,1253 kg,42 l,no data,no data,no data,no data,3 ,4 ,999 cc ,90 hp ,160 Nm ,5 cv ,no data,Multipoint ,182 km/h ,Turbo ,11.5 sec ,before ,automatic ,no data,no data,hayon sedan ,195 mm,195 mm,55,55 ,force force,twisting axle,16 inches ,16 inches ,24 months ,24 months ,France ,01/04/21 ,05/31/21 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+tce+90+business+x_tronic+_21-2021.html,2021
RENAULT,CAPTUR,(2) 1.5 DCI 90 INITIALE PARIS EDC,5,455 l (volume max 1235 l),2.61 m,1294 kg,45 l,4.5 l / 100 km ,4.3 l / 100 km ,4.2 l / 100 km ,113 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,5 cv ,no data,Diesel Common Rampe ,172 km/h ,Turbo ,13.8 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,55 ,55 ,force ,twisting axle ,17 inches ,17 inches ,12 months ,24 months ,France ,05/11/19 ,06/01/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-(2)+1.5+dci+90+initiale+paris+edc-2018.html,2018
RENAULT,CAPTUR,II 1.6 E-TECH HYBRIDE 145 EVOLUTION EDC,5,305 l (maximum volume 440 l),2.64 m,no data,48 l,no data,no data,no data,no data,4 ,4 ,1598 cc ,145 hp ,148 nm ,5 cv ,no data,no data,170 km/h ,no data,10.6 sec ,before ,automatic ,4 ,no data,All-terrain ,215 mm ,215 mm ,60 ,60 ,no data,no data,17 inches ,17 inches ,no data,24 months ,no data,10 /10/22 ,no data,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur-2/S7-modele--renault-captur-2.jpg,"4,23 m","1,80 m","1,58 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-ii+1.6+e_tech+hybride+145+evolution+edc-2023.html,2023
PEUGEOT,2008,(2) 1.2 PURETECH 130 S&S ALLURE BUSINESS,5,410 L (Max 1400 L volume),2.54 m,1155 kg,50 l,6.1 l / 100 km ,5.1 l / 100 km ,4.5 l / 100 km ,112 g / km ,3 ,4,1199 cc,130 hp with a speed of 5,230 nm at the 1750 rpm diet,7 cv ,no data,Direct & multipoint petrol injection ,200 km/h ,Turbo ,8.6 sec ,before ,Mesnie ,6 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,force ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,03/06/19 ,01/07/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+1.2+puretech+130+s%5Es+allure+business-2019.html,2019
PEUGEOT,206,SW 1.4 HDI X LINE,5,313 L (Max 1136 L volume),2.44 m,1035 kg,50 l,5.6 l / 100 km ,4.4 l / 100 km ,3.8 l / 100 km ,no data,4 ,2 ,1398 cc ,70 hp with a regime of 4000 rpm ,150 Nm at the 1750 rpm diet ,4 cv ,before ,no data,166 km/h ,turbo ,16.1 sec ,Before ,Made Coinique ,no data,Simple Cams In mind ,Break ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches ,14 inches ,no data,24 months ,no data,08/01/02 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206-sw/S7-modele--peugeot-206-sw.jpg,"4,03 m","1,65 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-sw+1.4+hdi+x+line-2005.html,2005
RENAULT,CLIO,V 1.5 BLUE DCI 100 LIMITED - 21N,5,284 L (MAX 1054 L volume),2.58 m,1173 kg,39 l,no data,no data,no data,no data,4 ,2 ,1461 cc ,101 ch ,220 Nm at the 1750 rpm diet ,5 cv ,no data,no data,no data,no data,no data,before ,Made Coatique ,6 ,no data,sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,no data,24 months,no data,24/01 /22 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.5+blue+dci+100+limited+_+21n-2021.html,2021
RENAULT,CLIO,IV ESTATE 1.2 TCE 120 ENERGY INTENS EDC E6,5,443 L (volume max 1380 l),2.59 m,1164 kg,45 l,6.8 l / 100 km ,5.4 l / 100 km ,4.5 l / 100 km ,120 g / km ,4 ,4,1197 cc,120 hp with a speed of 5,205 nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,170 km/h ,Turbo ,9.2 sec ,before ,automatic ,6 ,no data,Break ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,24 months,24 months,no data,04/ 01/16 ,05/04/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4-estate/S7-modele--renault-clio-4-estate.jpg,"4,27 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+estate+1.2+tce+120+energy+intens+edc+e6-2014.html,2014
PEUGEOT,206,(2) 1.4 HDI URBAN 3P,5,245 L (Max 1130 L volume),2.44 m,963 kg,50 l,4.9 l / 100 km ,4 l / 100 km ,3.5 l / 100 km ,104 g / km ,4 ,2,1398 cc,68 hp at the speed of 4000 rpm,160 Nm at the 2000 rpm diet,4 cv ,before ,injection ,166 km/h ,turbo ,13.8 sec ,before,Made Coinique,5 ,simple camshaft in mind ,tailgate vehicle ,175 mm ,175 mm ,65 ,65 ,no data,no data,14 inches,14 inches,24 months,24 months,no data,03/10/05,06/13/11,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,87 m","1,90 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.4+hdi+urban+3p-2008.html,2008
PEUGEOT,206,(2) 1.6 16S STYLE 5P,5,245 l (maximum volume 1130 l),2.44 m,1040 kg,50 l,8.6 l / 100 km ,6.4 l / 100 km ,5.1 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp with a speed of 5800 rpm ,147 nm at the regime of 4000 rpm ,7 cv ,before ,no data,198 km/h ,no data,10.6 sec ,Before ,Made Coinique ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),195 mm,195 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,09/25/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+style+5p-2005.html,2005
RENAULT,CLIO,IV 1.2 TCE 120 INITIALE PARIS EDC ECO2,5,300 L (Max 1146 L volume),2.59 m,1090 kg,45 l,6.6 l / 100 km ,5.2 l / 100 km ,4.4 l / 100 km ,120 g / km ,4 ,4,1197 cc,120 hp at the speed of 4900 rpm,190 Nm at the 2000 rpm diet,6 cv ,no data,Direct petrol injection ,199 km/h ,Turbo ,9.4 sec ,before ,automatic ,6 ,no data,hayon sedan ,205 mm ,205 mm ,45 ,45 ,no data,no data,17 inches ,17 inches ,24 months ,24 months ,no data,01/10/14 ,08/11/16 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-4/S7-modele--renault-clio-4.jpg,"4,06 m","1,73 m","1,45 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-iv+1.2+tce+120+initiale+paris+edc+eco2-2014.html,2014
PEUGEOT,2008,(2) 1.2 PURETECH 110 S&S ALLURE BUSINESS,5,410 L (Max 1400 L volume),2.54 m,1150 kg,50 l,5.3 l / 100 km ,4.4 l / 100 km ,3.9 l / 100 km ,103 g / km ,3 ,4,1199 cc,110 hp with a speed of 5,205 nm at the 1750 rpm diet,5 cv ,no data,Direct & multipoint petrol injection ,191 km/h ,Turbo ,9.9 sec ,before ,Mesnie ,5 ,no data,Crossover ,195 mm ,195 mm ,60 ,60 ,Strength leg ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,02/07/18 ,01/10/18 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-2008/S7-modele--peugeot-2008.jpg,"4,16 m","1,74 m","1,56 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-2008-(2)+1.2+puretech+110+s%5Es+allure+business-2017.html,2017
PEUGEOT,108,1.0 VTI 68 ACCESS 3P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,5 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,95 g / km ,3 ,4,998 cc,69 hp with a diet of 6000 rpm,95 nm at the speed of 4300 rpm,4 cv ,no data,Multipoint ,160 km/h ,no data,13 sec ,before,Made Coinique,5 ,no data,Micro ,165 mm ,165 mm ,65 ,65 ,leg of force ,twisting axle ,14 inches ,14 inches ,12 months ,24 months ,France ,05/02/18 ,04/29/18 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+68+access+3p-2014.html,2014
PEUGEOT,206,(2) 1.6 16S XT BVA 5P,5,245 l (maximum volume 1130 l),2.44 m,1064 kg,50 l,9.9 l / 100 km ,7.1 l / 100 km ,5.5 l / 100 km ,no data,4 ,4 ,1587 cc ,110 hp with a speed of 5800 rpm ,147 nm at the regime of 4000 rpm ,7 cv ,before ,no data,190 km/h ,no data,12.7 sec ,Before ,automatic ,no data,Variable Settings of the valves,Bicorps sedan (3/5 doors),195 mm,195 mm,55,55 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,01/04/04 ,03/10/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-206/S7-modele--peugeot-206.jpg,"3,84 m","1,65 m","1,43 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-206-(2)+1.6+16s+xt+bva+5p-2004.html,2004
PEUGEOT,1007,1.4 HDI DOLCE AVANT PREMIERE TO,4,no data,2.32 m,1209 kg,no data,5.3 l / 100 km ,4.4 l / 100 km ,3.8 l / 100 km ,no data,4 ,2 ,1398 cc,70 hp at 4000 rpm diet,160 Nm at the 2000 rpm diet,4 cv ,before ,no data,160 km/h ,turbo ,15.4 sec ,before ,Mã © CANQUE ,5 ,simple camshaft in mind ,monocorps ,185 mm ,185 mm ,60 ,60 ,no data,no data,15 inches ,15 inches ,no data,24 months ,no data,01/12/04 ,04/04/05 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-1007/S7-modele--peugeot-1007.jpg,"3,73 m","1,69 m","1,61 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-1007-1.4+hdi+dolce+avant+premiere+to-2005.html,2005
RENAULT,CAPTUR,(2) 1.5 DCI 90 ZEN EDC,5,455 l (volume max 1235 l),2.61 m,1294 kg,45 l,4.5 l / 100 km ,4.3 l / 100 km ,4.2 l / 100 km ,113 g / km ,4 ,2,1461 cc,90 hp with a speed of 4000 rpm,220 nm at the 1750 rpm diet,5 cv ,no data,Diesel Common Rampe ,172 km/h ,Turbo ,13.8 sec ,before ,automatic ,6 ,no data,Crossover ,205 mm ,205 mm ,60 ,60 ,force ,twisting axle ,16 inches ,16 inches ,12 months ,24 months ,France ,05/11/19 ,06/01/20 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-captur/S7-modele--renault-captur.jpg,"4,12 m","1,78 m","1,57 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-captur-(2)+1.5+dci+90+zen+edc-2020.html,2020
RENAULT,CLIO,V 1.0 TCE 90 SL LIMITED 21N,5,284 L (Max 1069 L volume),2.58 m,1082 kg,42 l,no data,no data,no data,no data,3 ,4 ,999 cc ,91 ch ,160 Nm at the diet of 2750 rpm ,5 cv ,no data,no data,180 km/h ,no data,12.2 sec ,before ,mèsique ,6 ,no data,sedan ,195 mm ,195 mm ,55 ,55 ,no data,no data,16 inches,16 inches,no data,24 months,no data,24/01 /22 ,03/17/22 ,https://images.caradisiac.com/logos-ref/modele/modele--renault-clio-5/S7-modele--renault-clio-5.jpg,"4,05 m","1,80 m","1,44 m",https://www.lacentrale.fr/fiche-technique-voiture-renault-clio-v+1.0+tce+90+sl+limited+21n-2022.html,2022
PEUGEOT,108,1.0 VTI 72 TOP! ROLAND GARROS 5P,4,196 L (Max 780 L volume),2.34 m,840 kg,35 l,4.9 l / 100 km ,4.1 l / 100 km ,3.6 l / 100 km ,93 g / km ,3 ,4,998 cc,72 hp with a diet of 6000 rpm,93 nm at the speed of 4400 rpm,4 cv ,no data,Multipoint ,160 km/h ,no data,13.8 sec ,before,Made Coinique,5 ,no data,Micro ,165 mm ,165 mm ,60 ,60 ,leg of force ,twisting axle ,15 inches ,15 inches ,12 months ,24 months ,France ,04/04/19 ,04/28/19 ,https://images.caradisiac.com/logos-ref/modele/modele--peugeot-108/S7-modele--peugeot-108.jpg,"3,48 m","1,62 m","1,46 m",https://www.lacentrale.fr/fiche-technique-voiture-peugeot-108-1.0+vti+72+top!+roland+garros+5p-2019.html,2019
